id,loan_amnt_USD,loan_amnt_EUR,funded_amnt_USD,funded_amnt_EUR,int_rate,installment_USD,installment_EUR,total_pymnt_USD,total_pymnt_EUR,exchange_rate,issue_date,loan_status,term_months,sub_grade,verification_status,state_address
49207133.0,4000.0,3649.520067207558,4000.0,3649.520067207558,0.28,127.0,115.87226213383997,1016.0,926.9780970707197,1.0960345268249512,5.0,1.0,36.0,7.0,1.0,2.0
49208587.0,11625.0,10606.417695321967,11625.0,10606.417695321967,0.28,387.0,353.0910665023313,3093.0,2821.9913919682444,1.0960345268249512,5.0,1.0,36.0,11.0,0.0,0.0
49217139.0,35000.0,31933.300588066133,35000.0,31933.300588066133,0.28,1129.0,1030.0770389693332,8994.0,8205.945871116195,1.0960345268249512,5.0,1.0,36.0,8.0,1.0,2.0
49217390.0,19200.0,17517.69632259628,19200.0,17517.69632259628,0.14,453.0,413.30814761125595,3610.0,3293.691860654821,1.0960345268249512,5.0,1.0,60.0,15.0,1.0,2.0
49217715.0,9250.0,8242.02733079916,9250.0,8242.02733079916,0.28,285.0,253.9435447867849,1992.0,1774.9317235623703,1.122296690940857,6.0,1.0,36.0,3.0,0.0,2.0
49217810.0,27500.0,25090.450462051962,27500.0,25090.450462051962,0.14,948.0,864.9362559281913,6617.0,6037.218571178103,1.0960345268249512,5.0,1.0,36.0,15.0,1.0,1.0
49218109.0,28000.0,25546.64047045291,28000.0,25546.64047045291,0.28,863.0,787.3839545000307,6092.0,5558.219062357111,1.0960345268249512,5.0,1.0,36.0,3.0,1.0,2.0
49218203.0,20425.0,18635.361843178594,20425.0,18635.361843178594,0.2,552.0,503.63376927464304,17790.0,16231.240498905614,1.0960345268249512,5.0,1.0,60.0,25.0,1.0,4.0
49218284.0,20000.0,18247.60033603779,20000.0,18247.60033603779,0.28,625.0,570.237510501181,4988.0,4550.951523807825,1.0960345268249512,5.0,1.0,36.0,5.0,1.0,2.0
49218374.0,3000.0,2673.0899451240516,3000.0,2673.0899451240516,0.28,100.0,89.10299817080173,698.0,621.938927232196,1.122296690940857,6.0,1.0,60.0,11.0,1.0,1.0
49218577.0,35000.0,31186.0493597806,35000.0,31186.0493597806,0.28,1174.0,1046.0691985252122,8193.0,7300.208640133785,1.122296690940857,6.0,1.0,36.0,12.0,1.0,1.0
49218915.0,16875.0,15036.13094132279,16875.0,15036.13094132279,0.19,439.0,391.1621619698196,2736.0,2437.858029953135,1.122296690940857,6.0,1.0,60.0,23.0,1.0,2.0
49227193.0,6000.0,5474.280100811337,6000.0,5474.280100811337,0.28,193.0,176.08934324276467,1545.0,1409.6271259589194,1.0960345268249512,5.0,0.0,36.0,8.0,0.0,4.0
49228446.0,10800.0,9853.704181460407,10800.0,9853.704181460407,0.24,316.0,288.3120853093971,2181.0,1989.9008166449212,1.0960345268249512,5.0,1.0,60.0,29.0,1.0,3.0
49237371.0,12000.0,10948.560201622675,1000.0,912.3800168018895,0.28,387.0,353.0910665023313,3090.0,2819.2542519178387,1.0960345268249512,5.0,1.0,36.0,8.0,0.0,2.0
49237706.0,18000.0,16422.84030243401,18000.0,16422.84030243401,0.16,447.0,407.83386751044463,3088.0,2817.4294918842347,1.0960345268249512,5.0,0.0,60.0,18.0,1.0,2.0
49247193.0,24000.0,21897.12040324535,24000.0,21897.12040324535,0.14,566.0,516.4070895098695,4512.0,4116.658635810126,1.0960345268249512,5.0,1.0,60.0,15.0,1.0,2.0
49247334.0,15000.0,13685.700252028342,15000.0,13685.700252028342,0.15,361.0,329.3691860654821,41913.0,38240.58364421759,1.0960345268249512,5.0,1.0,60.0,16.0,1.0,2.0
49267212.0,1600.0,1459.8080268830233,1600.0,1459.8080268830233,0.28,52.0,47.44376087369825,466.0,425.1690878296805,1.0960345268249512,5.0,1.0,36.0,10.0,0.0,3.0
49267346.0,25000.0,22809.50042004724,25000.0,22809.50042004724,0.13,854.0,779.1725343488137,5960.0,5437.7849001392615,1.0960345268249512,5.0,1.0,36.0,14.0,1.0,1.0
49277458.0,9950.0,9078.1811671788,1000.0,912.3800168018895,0.28,328.0,299.2606455110198,2291.0,2090.262618493129,1.0960345268249512,5.0,1.0,36.0,10.0,1.0,4.0
49277558.0,18000.0,16279.475995715336,18000.0,16279.475995715336,0.28,563.0,509.1858325326519,4489.0,4059.920430264786,1.1056866943836212,0.0,1.0,36.0,5.0,0.0,2.0
49297273.0,30000.0,26730.899451240515,30000.0,26730.899451240515,0.28,929.0,827.766853006748,6485.0,5778.329431376492,1.122296690940857,6.0,1.0,36.0,4.0,1.0,1.0
49307191.0,7000.0,6386.660117613227,7000.0,6386.660117613227,0.17,251.0,229.00738421727428,1772.0,1616.7373897729483,1.0960345268249512,5.0,1.0,36.0,19.0,1.0,2.0
49333135.0,18000.0,16422.84030243401,18000.0,16422.84030243401,0.28,563.0,513.6699494594639,13926.0,12705.804113983113,1.0960345268249512,5.0,1.0,36.0,5.0,0.0,2.0
49333477.0,7000.0,6386.660117613227,7000.0,6386.660117613227,0.28,230.0,209.8474038644346,7399.0,6750.69974431718,1.0960345268249512,5.0,1.0,36.0,10.0,1.0,3.0
49343124.0,14000.0,12474.419743912242,14000.0,12474.419743912242,0.13,478.0,425.91233125643225,3327.0,2964.4567491425732,1.122296690940857,6.0,1.0,36.0,14.0,0.0,4.0
